SEAZONE_ID,name,posX,posY,Connection_1,Connection_2,Connection_3,Connection_4,harbour_1,harbour_2,harbour_3,harbour_4,harbour_5,harbour_6,harbour_7,harbour_8,Harbour_9
BALTIC_SEA,Baltic Sea,3200,350,NORTH_SEA,,,,Stettin,Lübeck,,,,,,,
NORTH_SEA,North Sea,2200,380,BALTIC_SEA,IRISH_SEA,ENGLISH_CHANNEL,,Hamburg,Bremen,Amsterdam,Antwerp,Calais,London,Norwich,Berwick,Edinburgh
IRISH_SEA,Irish Sea,1250,1023,NORTH_SEA,ENGLISH_CHANNEL,BAY_OF_BISCAY,,Bristol,Glasgow,,,,,,,
ENGLISH_CHANNEL,English Channel,1656,1122,NORTH_SEA,IRISH_SEA,BAY_OF_BISCAY,,Calais,Boulogne,Rouen,Brest,Portsmouth,Plymouth,,,
BAY_OF_BISCAY,Bay of Biscay,1332,1647,IRISH_SEA,ENGLISH_CHANNEL,ATLANTIC_OCEAN,,Brest,Nantes,Bordeaux,Corunna,,,,,
ATLANTIC_OCEAN,Atlantic Ocean,1400,2945,BAY_OF_BISCAY,,,,Corunna,Seville,Gibraltar,,,,,,
GULF_OF_LYON,Gulf of Lyon,2622,2172,BARBARY_COAST,TYRRHENIAN_SEA,,,Cartagena,Valencia,Barcelona,Marsilla,Nice,Genoa,Bastia,Palma,
BARBARY_COAST,Barbary Coast,2368,2586,GULF_OF_LYON,TYRRHENIAN_SEA,IONIAN_SEA,NORTH_AFRICAN_COAST,Gibraltar,Cartagena,Palma,Cagliari,Oran,Algiers,Tunis,,
TYRRHENIAN_SEA,Tyrrhenian Sea,3212,2331,GULF_OF_LYON,BARBARY_COAST,,,Genoa,Bastia,Rome,Naples,Messina,Palermo,Cagliari,,
IONIAN_SEA,Ionian Sea,3929,2594,ADRIATIC_SEA,BARBARY_COAST,NORTH_AFRICAN_COAST,AEGEAN_SEA,Taranto,Messina,Malta,Corfu,Lepanto,Coron,,,
ADRIATIC_SEA,Adriatic Sea,3518,1869,IONIAN_SEA,,,,Venice,Trieste,Ravenna,Ancona,Ragusa,Scutari,Durazzo,Corfu,
NORTH_AFRICAN_COAST,North African Coast,3467,2996,BARBARY_COAST,IONIAN_SEA,AEGEAN_SEA,,Tunis,Malta,Tripoli,Candia,Rhodes,,,,
AEGEAN_SEA,Aegean Sea,4528,2217,BLACK_SEA,IONIAN_SEA,NORTH_AFRICAN_COAST,,Istanbul,Salonika,Athens,Candia,Rhodes,,,,
BLACK_SEA,Black Sea,4832,1881,AEGEAN_SEA,,,,Istanbul,Varna,,,,,,,
